trip_id,start_time,end_time,headway_secs,exact_times
101-I-L-B02,05:30:00,06:30:00,900,0
101-I-L-B03,06:30:00,08:00:00,771,0
101-I-L-B04,08:00:00,09:30:00,771,0
101-I-L-B05,09:30:00,12:30:00,900,0
101-I-L-B06,12:30:00,14:00:00,900,0
101-I-L-B07,14:00:00,16:30:00,818,0
101-I-L-B08,16:30:00,18:30:00,720,0
101-I-L-B09,18:30:00,20:30:00,800,0
101-I-L-B10,20:30:00,23:00:00,1000,0
101-I-L-B11,23:00:00,24:00:00,1200,0
101-I-S-B14,05:30:00,06:30:00,1200,0
101-I-S-B15,06:30:00,09:00:00,900,0
101-I-S-B16,09:00:00,12:00:00,900,0
101-I-S-B17,12:00:00,15:00:00,900,0
101-I-S-B18,15:00:00,19:30:00,900,0
101-I-S-B19,19:30:00,23:00:00,1145,0
101-I-S-B20,23:00:00,24:00:00,1800,0
101-I-D-B23,05:30:00,07:30:00,1200,0
101-I-D-B24,07:30:00,13:00:00,990,0
101-I-D-B25,13:00:00,18:00:00,1059,0
101-I-D-B26,18:00:00,21:00:00,1200,0
101-I-D-B27,21:00:00,23:00:00,1200,0
101-I-D-B28,23:00:00,24:00:00,1800,0
101-R-L-B01,01:00:00,05:30:00,8100,0
101-R-L-B02,05:30:00,06:30:00,720,0
101-R-L-B03,06:30:00,08:00:00,675,0
101-R-L-B04,08:00:00,09:30:00,771,0
101-R-L-B05,09:30:00,12:30:00,900,0
101-R-L-B06,12:30:00,14:00:00,900,0
101-R-L-B07,14:00:00,16:30:00,818,0
101-R-L-B08,16:30:00,18:30:00,720,0
101-R-L-B09,18:30:00,20:30:00,900,0
101-R-L-B10,20:30:00,23:00:00,1000,0
101-R-L-B11,23:00:00,24:00:00,1200,0
101-R-S-B14,05:30:00,06:30:00,1200,0
101-R-S-B15,06:30:00,09:00:00,900,0
101-R-S-B16,09:00:00,12:00:00,900,0
101-R-S-B17,12:00:00,15:00:00,900,0
101-R-S-B18,15:00:00,19:30:00,900,0
101-R-S-B19,19:30:00,23:00:00,1145,0
101-R-S-B20,23:00:00,24:00:00,1800,0
101-R-D-B23,05:30:00,07:30:00,1200,0
101-R-D-B24,07:30:00,13:00:00,990,0
101-R-D-B25,13:00:00,18:00:00,1059,0
101-R-D-B26,18:00:00,21:00:00,1200,0
101-R-D-B27,21:00:00,23:00:00,1200,0
101-R-D-B28,23:00:00,24:00:00,1800,0
102-I-L-B00,00:00:00,01:00:00,1800,0
102-I-L-B02,05:30:00,06:30:00,900,0
102-I-L-B03,06:30:00,08:00:00,600,0
